n,p,conf_level,n_sims,prior,prior_a,prior_b,tail,coverage,conservatism_mean,conservatism_var,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var
10000,0.02848160535117057,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.5027637339826804,0.0848115630102754,0.0,0.03129343450279031,0.0,3.132532789578877e-06,0.03129343450279031,3.132532789578877e-06
10000,0.02848160535117057,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9451,,,0.025380390656267626,0.03190282557731226,2.5495524190093407e-06,3.184823674686505e-06,0.006522434921044639,3.531580212859017e-08
10000,0.02848160535117057,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.494831827615152,0.08478525670876089,0.0,0.03134262726661392,0.0,3.131639305276273e-06,0.03134262726661392,3.131639305276273e-06
10000,0.02848160535117057,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.9446,,,0.0252910565128893,0.03180365210791729,2.5499969874797467e-06,3.186740566848728e-06,0.006512595595027983,3.546562511692543e-08
10000,0.02848160535117057,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5106961230568781,0.08478419665665123,0.0,0.031244229772777396,0.0,3.1334272736334837e-06,0.031244229772777396,3.1334272736334837e-06
10000,0.028812709030100334,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.949,,,0.025666652478313495,0.032223037027812464,2.5411560703193967e-06,3.1701615655168726e-06,0.006556384549498971,3.47600111936211e-08
10000,0.028812709030100334,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.5002842092193045,0.0847879864408932,0.0,0.03166013103392579,0.0,3.1175193851052533e-06,0.03166013103392579,3.1175193851052533e-06
10000,0.028812709030100334,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9452,,,0.025711301873387823,0.03227256206402078,2.540928813950588e-06,3.1692141682638357e-06,0.006561260190632963,3.468734417609485e-08
10000,0.028812709030100334,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.4923958360333916,0.084703502537842,0.0,0.03170927160901315,0.0,3.1166350004262188e-06,0.03170927160901315,3.1166350004262188e-06
10000,0.028812709030100334,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.9443,,,0.02562199684916261,0.032173499582479025,2.5413826612478067e-06,3.1711100973837543e-06,0.006551502733316414,3.483293786238062e-08
10000,0.028812709030100334,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5081727651703836,0.08481843913810476,0.0,0.03161097854318698,0.0,3.118404741010356e-06,0.03161097854318698,3.118404741010356e-06
10000,0.0291438127090301,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9564,,,0.025999480488480286,0.03259474565486322,2.4793128415767143e-06,3.088034662782184e-06,0.006595265166382933,3.339459085294114e-08
10000,0.0291438127090301,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.49733961904183105,0.08278527179446235,0.0,0.03202874320899945,0.0,3.0371108208897242e-06,0.03202874320899945,3.0371108208897242e-06
10000,0.0291438127090301,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9564,,,0.026044114960919296,0.0326442151854488,2.47908568913124e-06,3.0871176216929224e-06,0.006600100224529501,3.332555003180132e-08
10000,0.0291438127090301,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.4894163562538437,0.08268584900917846,0.0,0.0320778315302056,0.0,3.036254101827958e-06,0.0320778315302056,3.036254101827958e-06
10000,0.0291438127090301,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.9557,,,0.025954839737887158,0.03254526377318286,2.479539369654432e-06,3.0889527807940297e-06,0.006590424035295706,3.346387518620456e-08
10000,0.0291438127090301,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5052642105840097,0.08283132462109122,0.0,0.03197964302198702,0.0,3.0379684625876085e-06,0.03197964302198702,3.0379684625876085e-06
10000,0.029474916387959866,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9459,,,0.026278231685760715,0.03290568422545929,2.5582956441399802e-06,3.183122397687105e-06,0.006627452539698572,3.411810864626801e-08
10000,0.029474916387959866,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.502127400028232,0.08316713074587671,0.0,0.03233711859486723,0.0,3.13086489923759e-06,0.03233711859486723,3.13086489923759e-06
10000,0.029474916387959866,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9473,,,0.026322853198629686,0.03295510776800537,2.558057742087498e-06,3.1821808773579013e-06,0.0066322545693756835,3.404806345654175e-08
10000,0.029474916387959866,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.49427025074719094,0.08312511827139164,0.0,0.03238616357441858,0.0,3.129984873357175e-06,0.03238616357441858,3.129984873357175e-06
10000,0.029474916387959866,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.9459,,,0.026233603859910387,0.03285624837832325,2.5585329177308645e-06,3.184065010160174e-06,0.006622644518412863,3.418839890971576e-08
10000,0.029474916387959866,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5099849721500824,0.08315685975178068,0.0,0.03228806178949442,0.0,3.1317458613107766e-06,0.03228806178949442,3.1317458613107766e-06
10000,0.029806020066889632,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9415,,,0.026608058470348306,0.033273376070193754,2.6441576912493906e-06,3.2848931158987072e-06,0.0066653175998454516,3.4740662913125325e-08
10000,0.029806020066889632,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.5006702621505817,0.0837441558285179,0.0,0.03270179525240683,0.0,3.231326084879274e-06,0.03270179525240683,3.231326084879274e-06
10000,0.029806020066889632,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9446,,,0.02665266439521321,0.03332274547420672,2.6439064106401574e-06,3.2839272650395905e-06,0.0066700810789935274,3.4670094828389404e-08
10000,0.029806020066889632,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.4928899444606328,0.08365499485092678,0.0,0.032750789182229456,0.0,3.2304226425479636e-06,0.032750789182229456,3.2304226425479636e-06
10000,0.029806020066889632,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.9449,,,0.026563446192374465,0.03322399441553096,2.64440834648652e-06,3.2858600663595125e-06,0.00666054822315649,3.481147485680508e-08
10000,0.029806020066889632,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5084501369437852,0.08378314296018591,0.0,0.0326527895431618,0.0,3.2322304705981136e-06,0.0326527895431618,3.2322304705981136e-06
