n,p,conf_level,n_sims,prior,prior_a,prior_b,tail,coverage,conservatism_mean,conservatism_var,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var
1000,0.0016076923076923076,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9163,,,0.0005443701652923795,0.006456027123665291,2.8369420468917054e-07,4.324503620635807e-06,0.005911656958372912,2.46626226745377e-06
1000,0.0016076923076923076,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.3855781858305254,0.06957284590556541,0.0,0.005586514861429112,0.0,3.8267370365931655e-06,0.005586514861429112,3.8267370365931655e-06
1000,0.0016076923076923076,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.767,,,0.0002641710962273275,0.00435680388725462,1.5244306184099428e-07,7.708176514284542e-06,0.004092632791027291,6.092031590459132e-06
1000,0.0016076923076923076,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.6171660575336214,0.09366474938318278,0.0,0.003713899898574138,0.0,6.019556272155713e-06,0.003713899898574138,6.019556272155713e-06
1000,0.0016240802675585285,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9789,,,0.0003880499785736674,0.005607007834965473,2.000485887211623e-07,4.660390121311019e-06,0.005218957856391805,3.0629904164165082e-06
1000,0.0016240802675585285,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.49709836567871024,0.08448298300680986,0.0,0.004793611258728714,0.0,4.073863012762373e-06,0.004793611258728714,4.073863012762373e-06
1000,0.0016240802675585285,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9789,,,0.0005466545964623316,0.006491465010427589,2.6493237395965467e-07,4.089783608060214e-06,0.005944810413965259,2.3411293323423546e-06
1000,0.0016240802675585285,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.3812866907596453,0.06728810802022395,0.0,0.005619305089136674,0.0,3.6181560955418953e-06,0.005619305089136674,3.6181560955418953e-06
1000,0.0016240802675585285,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.7869,,,0.0002619081020296688,0.004422635606585211,1.4072126799995577e-07,7.28238114301028e-06,0.0041607275045555435,5.772397110616132e-06
1000,0.0016240802675585285,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.6138677827892675,0.09006985619443547,0.0,0.0037681210223301847,0.0,5.688832253454855e-06,0.0037681210223301847,5.688832253454855e-06
1000,0.0016404682274247491,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9738,,,0.00039898187046863665,0.005642539987724389,2.1846569734603305e-07,4.852210067412925e-06,0.005243558117255753,3.153073357954518e-06
1000,0.0016404682274247491,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.49789385659706203,0.08551912087398146,0.0,0.004827203312716258,0.0,4.245513364558304e-06,0.004827203312716258,4.245513364558304e-06
1000,0.0016404682274247491,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9738,,,0.000558391712898781,0.006525873577104949,2.862276004840654e-07,4.270329991007928e-06,0.005967481864206168,2.418324776002341e-06
1000,0.0016404682274247491,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.3829774398215666,0.06815583852879037,0.0,0.005651937220452092,0.0,3.780658548859548e-06,0.005651937220452092,3.780658548859548e-06
1000,0.0016404682274247491,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.8025,,,0.0002719029890810999,0.004460902024355863,1.5597871448980688e-07,7.496095740657287e-06,0.004188999035274763,5.8829725559702855e-06
1000,0.0016404682274247491,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.6134008118890426,0.09147546531382832,0.0,0.003803725146376567,0.0,5.876914125189281e-06,0.003803725146376567,5.876914125189281e-06
1000,0.0016568561872909698,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9734,,,0.00040762892016462667,0.005679351111994118,2.2736902878141817e-07,4.937611623824616e-06,0.005271722191829491,3.190819921468574e-06
1000,0.0016568561872909698,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.4970426265853263,0.08592418698490445,0.0,0.004861770665555429,0.0,4.3222207295046885e-06,0.004861770665555429,4.3222207295046885e-06
1000,0.0016568561872909698,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9734,,,0.0005681918283771146,0.006560877878255922,2.964255632817235e-07,4.3517261175227125e-06,0.005992686049878807,2.451608231305462e-06
1000,0.0016568561872909698,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.3830240789381644,0.06865780035785207,0.0,0.005684960512895364,0.0,3.854088882654097e-06,0.005684960512895364,3.854088882654097e-06
1000,0.0016568561872909698,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.8035,,,0.0002792155923212045,0.00450312463310763,1.634359468506309e-07,7.581400341838371e-06,0.004223909040786425,5.919858115748436e-06
1000,0.0016568561872909698,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.6116287273456761,0.09187616510518391,0.0,0.0038421804218844867,0.0,5.955512328085652e-06,0.0038421804218844867,5.955512328085652e-06
1000,0.0016732441471571907,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9722,,,0.0004068794948265371,0.005681908542190744,2.2909528932469623e-07,4.905591231127052e-06,0.005275029047364206,3.159243499244361e-06
1000,0.0016732441471571907,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.5008107248523491,0.08467004674928733,0.0,0.004864012049503476,0.0,4.29546771421417e-06,0.004864012049503476,4.29546771421417e-06
1000,0.0016732441471571907,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9722,,,0.0005676630101537221,0.006562535662533782,2.977499017547851e-07,4.327958890724066e-06,0.005994872652380059,2.4303392619601668e-06
1000,0.0016732441471571907,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.38648375021325265,0.06789002198582775,0.0,0.005686433569649948,0.0,3.833895794372192e-06,0.005686433569649948,3.833895794372192e-06
1000,0.0016732441471571907,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.8083,,,0.000278440482925212,0.004511811450269233,1.652808793530449e-07,7.499269042263211e-06,0.004233370967344019,5.838762113093902e-06
