t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
26,post_drift,jeffreys,0.010454545454545454,0.9774,0.04278286175588483,0.0226,0.002111025755425695,0.0448938875113106,9.577097943691994e-06,0.00033546186688066014,0.04278286175588483,0.00024257677201342757,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
27,post_drift,jeffreys,0.010681818181818181,0.9745,0.04305665786970525,0.0255,0.0021788224421949074,0.04523548031190055,9.97604226365405e-06,0.00034375106565197235,0.04305665786970525,0.00024751958797078174,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
28,post_drift,jeffreys,0.01090909090909091,0.9773,0.04322332588078558,0.0227,0.0021777631977788064,0.04540108907856466,9.795264399716897e-06,0.00033741900395323947,0.04322332588078558,0.000243139060028332,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
29,post_drift,jeffreys,0.011136363636363637,0.9734,0.043771424511842086,0.0266,0.0022988619663944798,0.04607028647823704,1.0475522292146607e-05,0.0003493741380364377,0.043771424511842086,0.00024994237148974626,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
30,post_drift,jeffreys,0.011363636363636364,0.9739,0.044066377991595344,0.0261,0.0023535354823562868,0.0464199134739523,1.0610477325058909e-05,0.00035235728914470663,0.044066377991595344,0.00025167034293968973,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
31,post_drift,jeffreys,0.011590909090909091,0.9705,0.044638421606481335,0.0295,0.002452806437857595,0.047091228044339566,1.1277331777645891e-05,0.00035684775792764554,0.044638421606481335,0.0002526377185677548,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
32,post_drift,jeffreys,0.011818181818181818,0.9685,0.04474264657034219,0.0315,0.0024718318093417276,0.04721447837968459,1.1466276556635128e-05,0.00035794941511171473,0.04474264657034219,0.000252739528365254,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
33,post_drift,jeffreys,0.012045454545454545,0.9683,0.04527759788825499,0.0317,0.002565028484120005,0.04784262637237607,1.1816439562550773e-05,0.0003607063949327546,0.04527759788825499,0.00025360283236588316,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
34,post_drift,jeffreys,0.012272727272727274,0.9655,0.04558532477653538,0.0345,0.0026136594219988616,0.048198984198535307,1.2014581369868266e-05,0.000360707551290816,0.04558532477653538,0.0002525116926016908,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
35,post_drift,jeffreys,0.0125,0.9621,0.04589925566359518,0.0379,0.0027301937347201056,0.04862944939831651,1.3044108874866017e-05,0.00037837348444471394,0.04589925566359518,0.0002628185584035718,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
36,post_drift,jeffreys,0.012727272727272728,0.9588,0.04610909906767248,0.0412,0.0027702526670314734,0.04887935173470517,1.337291654458771e-05,0.000380162489997836,0.04610909906767248,0.0002629793562579554,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
37,post_drift,jeffreys,0.012954545454545455,0.961,0.04623197733213985,0.039,0.0027926858638209744,0.049024663195962104,1.3667285242445535e-05,0.0003811320698787787,0.04623197733213985,0.0002628793679546634,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
38,post_drift,jeffreys,0.013181818181818182,0.9544,0.0467966837419997,0.0456,0.0029337957946603513,0.04973047953666138,1.4876724632339521e-05,0.0003938198272196011,0.0467966837419997,0.00026841179243530886,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
39,post_drift,jeffreys,0.013409090909090909,0.9571,0.04680710840830346,0.0429,0.0029360487605849805,0.04974315716888991,1.4502778458344086e-05,0.00039307346506563604,0.04680710840830346,0.0002691095013941753,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
40,post_drift,jeffreys,0.013636363636363637,0.949,0.04751652089509615,0.051,0.003086097210049729,0.05060261810514757,1.596820746599662e-05,0.00040112518763025205,0.04751652089509615,0.00027023261182399384,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
41,post_drift,jeffreys,0.013863636363636364,0.9873,0.04764856379084289,0.0508,0.0031291010509030856,0.05077766484174748,1.5674740039717223e-05,0.00040471997188695893,0.04764856379084289,0.00027382811029685915,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
