t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_n,scenario_p
6,pre_drift,cp,0.01,0.981,0.05265234428024284,0.019,0.001206935277551948,0.053859279557794376,5.534705425057093e-06,0.0002770431447901116,0.05265234428024284,0.0002164290434376265,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
7,pre_drift,cp,0.01,0.973,0.05270000996406227,0.027,0.0012672501238092692,0.05396726008787109,6.020405746240428e-06,0.0002912221073082758,0.05270000996406227,0.00022573694986854301,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
8,pre_drift,cp,0.01,0.972,0.05228290445390096,0.028,0.001202461634112592,0.05348536608801308,5.764338563272621e-06,0.00028289592511934183,0.05228290445390096,0.00021971290519913565,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
9,pre_drift,cp,0.01,0.988,0.05225926547275687,0.012,0.0010347392684968064,0.05329400474125315,3.907130848235858e-06,0.0002400427351635097,0.05225926547275687,0.00019269390441907638,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
10,pre_drift,cp,0.01,0.979,0.05300710681608283,0.021,0.0011877296869083139,0.05419483650299071,5.137426778576421e-06,0.00026386499330072416,0.05300710681608283,0.0002065114517997499,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
11,pre_drift,cp,0.01,0.981,0.05234288554561322,0.019,0.0011952544453631751,0.05353813999097597,5.1401262275759296e-06,0.0002794010353912549,0.05234288554561322,0.0002198466207445817,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
12,pre_drift,cp,0.01,0.982,0.052249536727912264,0.018,0.001151411351606703,0.053400948079518534,5.2172394706207e-06,0.0002707967528748495,0.052249536727912264,0.0002126931376736996,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
13,pre_drift,cp,0.01,0.986,0.05231543423120704,0.014,0.001042646847532406,0.05335808107873896,4.1276412519111575e-06,0.0002416648744305791,0.05231543423120704,0.00019345639027580673,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
14,pre_drift,cp,0.01,0.983,0.05242221570711262,0.017,0.0011200366353804703,0.053542252342492595,4.855018446722478e-06,0.0002592266574682261,0.05242221570711262,0.00020458866892849063,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
15,pre_drift,cp,0.01,0.979,0.05235711240205792,0.021,0.0011878422121236443,0.0535449546141811,5.474549908623048e-06,0.00027841902959087035,0.05235711240205792,0.00021820840876355437,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
16,pre_drift,cp,0.01,0.982,0.05211346601769104,0.018,0.0011095793237676538,0.053223045341458296,4.693919142845555e-06,0.00026198071467407576,0.05211346601769104,0.00020727076078775773,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
17,pre_drift,cp,0.01,0.978,0.05198750587564736,0.022,0.001137995352759151,0.053125501228406105,5.148061517914927e-06,0.00027169999660985435,0.05198750587564736,0.00021314401588110043,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
18,pre_drift,cp,0.01,0.982,0.053012406961907926,0.018,0.0012392888235163877,0.05425169578542385,5.524049333737273e-06,0.00027699246323258965,0.053012406961907926,0.00021598794171589358,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
19,pre_drift,cp,0.01,0.982,0.0526972770773723,0.018,0.0012028952735286924,0.053900172350900596,5.195488691899945e-06,0.0002742050145591417,0.0526972770773723,0.0002151561624943463,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
20,pre_drift,cp,0.01,0.984,0.052690076681819575,0.016,0.0011683344231899636,0.05385841110500908,4.950562300082488e-06,0.00026596113764953966,0.052690076681819575,0.0002097030094621922,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
21,pre_drift,cp,0.01,0.982,0.05268239288014955,0.018,0.0011654318749049874,0.05384782475505407,5.120538332563324e-06,0.0002652940802422622,0.05268239288014955,0.00020819528668334156,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
22,pre_drift,cp,0.01,0.986,0.05247538911041307,0.014,0.0010911082882971816,0.0535664973987098,4.370169839735597e-06,0.0002506913570661097,0.05247538911041307,0.00019973056790795586,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
