t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
49,post_drift,jeffreys,0.015681818181818182,0.9459,0.015377638586135762,0.3939,0.009316401003950595,0.024694039590085558,8.661301632490541e-06,2.3216846727923944e-05,0.015377638586135762,3.5493828684873916e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
50,post_drift,jeffreys,0.015909090909090907,0.9562,0.01551185604781691,0.4241,0.009533149817796764,0.025045005865613045,9.04408952232879e-06,2.400348818953023e-05,0.01551185604781691,3.6135811315463886e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
51,post_drift,jeffreys,0.016136363636363636,0.9572,0.015611245605413129,0.4464,0.009688826031732036,0.02530007163714454,9.113935632349733e-06,2.4007193412005313e-05,0.015611245605413129,3.570137633181295e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
52,post_drift,jeffreys,0.016363636363636365,0.9397,0.015741194357257533,0.474,0.00989564675517119,0.025636841112428057,9.186061319344028e-06,2.402477518449774e-05,0.015741194357257533,3.5304775540703054e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
53,post_drift,jeffreys,0.01659090909090909,0.9389,0.015834694324827845,0.495,0.010045784452511444,0.025880478777338498,9.28156790090719e-06,2.4096332939111537e-05,0.015834694324827845,3.4985731958599164e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
54,post_drift,jeffreys,0.01681818181818182,0.9532,0.015944145524139555,0.513,0.010225345990881412,0.026169491515020196,9.471794324093593e-06,2.4390850438273516e-05,0.015944145524139555,3.4919725870901806e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
55,post_drift,jeffreys,0.017045454545454544,0.9526,0.01609698890861083,0.5536,0.010479552425772488,0.026576541334382666,9.699710115032033e-06,2.4755624951324092e-05,0.01609698890861083,3.4919308931296677e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
56,post_drift,jeffreys,0.017272727272727273,0.9487,0.016133330165919006,0.5556,0.01054575150653464,0.02667908167245287,9.924289110944408e-06,2.5304624277234047e-05,0.016133330165919006,3.5654627430663287e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
57,post_drift,jeffreys,0.0175,0.9574,0.01626664934634192,0.5793,0.010781582544875956,0.0270482318912172,1.0654362391385655e-05,2.6852252046872583e-05,0.01626664934634192,3.7101392056226997e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
58,post_drift,jeffreys,0.017727272727272727,0.9382,0.01637740084850837,0.6024,0.010969263649917432,0.027346664498424867,1.0800473604514904e-05,2.703419202554748e-05,0.01637740084850837,3.690663667776212e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
59,post_drift,jeffreys,0.017954545454545456,0.9479,0.01646885444605932,0.6257,0.011111052493967674,0.027579906940026076,1.0316897567408e-05,2.568894994034454e-05,0.01646885444605932,3.474671949462544e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
60,post_drift,jeffreys,0.01818181818181818,0.9417,0.016589184764514958,0.6434,0.011326247927276488,0.02791543269179062,1.0838451336157216e-05,2.6736928617313005e-05,0.016589184764514958,3.55827034960297e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
61,post_drift,jeffreys,0.01840909090909091,0.9545,0.01664127640700333,0.6552,0.011415296264322933,0.02805657267132526,1.0838577639339024e-05,2.665946713395137e-05,0.01664127640700333,3.529472972042065e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
62,post_drift,jeffreys,0.01863636363636364,0.9595,0.01677334001298444,0.6836,0.011643180298508837,0.028416520311492343,1.0805786499949033e-05,2.6424626877532783e-05,0.01677334001298444,3.4623976641510947e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
63,post_drift,jeffreys,0.018863636363636364,0.9549,0.016865318717255523,0.698,0.011815397794773292,0.02868071651202789,1.1305496126666497e-05,2.7531139511630673e-05,0.016865318717255523,3.5800196902737607e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
64,post_drift,jeffreys,0.019090909090909092,0.9376,0.01695846913937316,0.7104,0.011984340647799442,0.02894280978717176,1.1527947194646312e-05,2.7953181487030748e-05,0.01695846913937316,3.6067783530896826e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
65,post_drift,jeffreys,0.019318181818181818,0.9469,0.017059622048236044,0.7332,0.01216703631596076,0.029226658364196054,1.1717170048370604e-05,2.8243230869302795e-05,0.017059622048236044,3.6048633786103465e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
66,post_drift,jeffreys,0.019545454545454546,0.9497,0.01716409105808055,0.7504,0.012352067161070178,0.029516158219149838,1.1745457235065934e-05,2.8081989500124854e-05,0.01716409105808055,3.5302108596331006e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
67,post_drift,jeffreys,0.019772727272727275,0.9485,0.017230915565206048,0.7597,0.0124751309114736,0.029706046476678877,1.189276205402771e-05,2.832491916603488e-05,0.017230915565206048,3.536181850031454e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
68,post_drift,jeffreys,0.02,0.9573,0.01732382220404686,0.7763,0.012651669319463734,0.02997549152350958,1.2280963832241569e-05,2.9111176275287403e-05,0.01732382220404686,3.604050889943777e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
1,pre_drift,cp,0.01,0.9776,0.013355182044135935,0.0224,0.004883752563840378,0.0182389346079766,4.568499947921059e-06,1.6159824546006958e-05,0.013355182044135935,3.599133008329791e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
2,pre_drift,cp,0.01,0.9768,0.013388800788689537,0.0232,0.004929039086616217,0.01831783987530601,4.76447479352074e-06,1.673822333175839e-05,0.013388800788689537,3.7006540016575257e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
3,pre_drift,cp,0.01,0.9775,0.013365563236629732,0.0225,0.004897207933033739,0.01826277116966373,4.600477684701429e-06,1.6271187857246354e-05,0.013365563236629732,3.623531359881702e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
4,pre_drift,cp,0.01,0.9751,0.013328411483318897,0.0249,0.004866358710800491,0.018194770194119633,4.74733022277062e-06,1.687772264973063e-05,0.013328411483318897,3.7828428408201117e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
5,pre_drift,cp,0.01,0.9784,0.013370921778021835,0.0216,0.004903732885825184,0.018274654663847208,4.615351944276381e-06,1.6314674642159323e-05,0.013370921778021835,3.630200613561344e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
6,pre_drift,cp,0.01,0.9773,0.01337095935009219,0.0227,0.004903626639844351,0.018274585989936795,4.6007715538644044e-06,1.6280630620138926e-05,0.01337095935009219,3.6279435682323074e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
7,pre_drift,cp,0.01,0.9782,0.013346689007256819,0.0218,0.004875873688765989,0.018222562696023063,4.571347726946762e-06,1.6217524449836055e-05,0.013346689007256819,3.6241165996409442e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
8,pre_drift,cp,0.01,0.9747,0.013344372208352476,0.0253,0.004880347965789839,0.01822472017414254,4.715347210490798e-06,1.6697250402790387e-05,0.013344372208352476,3.7249739487556634e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
