t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
47,post_drift,cp,0.0015227272727272728,0.9807,0.006084557384165025,0.0674,0.00023619121424141662,0.006320748598406238,1.3249528740804902e-07,4.043640126025762e-06,0.006084557384165025,2.8707875998347274e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
48,post_drift,cp,0.0015454545454545456,0.9789,0.006132220143170734,0.0708,0.0002426691658093798,0.0063748893089798885,1.3048231814733133e-07,4.018413573460886e-06,0.006132220143170734,2.851441646991768e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
49,post_drift,cp,0.0015681818181818184,0.977,0.006167839266238057,0.0761,0.0002539869686959691,0.006421826234933789,1.4455690444929291e-07,4.192924759782717e-06,0.006167839266238057,2.940775734945737e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
50,post_drift,cp,0.001590909090909091,0.979,0.00618009274156807,0.0717,0.00024979318251861453,0.006429885924086462,1.365688213172352e-07,4.0228620782728115e-06,0.00618009274156807,2.83004078470163e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
51,post_drift,cp,0.0016136363636363635,0.9762,0.006209931056280108,0.0767,0.00026074393393653463,0.006470674990216415,1.4617246697541984e-07,4.1963561609876366e-06,0.006209931056280108,2.9349289034521123e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
52,post_drift,cp,0.0016363636363636363,0.9937,0.006257573577334431,0.0848,0.0002705794405932311,0.006528153017927429,1.5457381733765935e-07,4.263082895627099e-06,0.006257573577334431,2.9536814365376196e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
53,post_drift,cp,0.001659090909090909,0.9933,0.006257518523810006,0.0872,0.000274901422692742,0.006532419946502522,1.6108587999399555e-07,4.3830163503272084e-06,0.006257518523810006,3.0281021637603944e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
54,post_drift,cp,0.001681818181818182,0.9927,0.006299334897045322,0.0901,0.0002823443418414331,0.006581679238886521,1.6863309784608518e-07,4.412510081100782e-06,0.006299334897045322,3.028804239758969e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
55,post_drift,cp,0.0017045454545454547,0.9924,0.00630743880318922,0.092,0.00028263093412511593,0.006590069737314114,1.627625749880955e-07,4.366354304254452e-06,0.00630743880318922,3.003266458353657e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
56,post_drift,cp,0.0017272727272727275,0.9919,0.00637242342865717,0.0987,0.00029710820680504117,0.006669531635461982,1.7439738757476466e-07,4.4677704824247244e-06,0.00637242342865717,3.0411564137673144e-06,68,24,1000,0.001,0.001,10000,0.95,0.050000000000000044,Low Default,low_default,1000,0.001
