t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
3,pre_drift,cp,0.01,0.955,0.003997243306401075,0.045,0.008128687166699013,0.012125930473100236,8.065464624439452e-07,1.1892444637938448e-06,0.003997243306401075,3.7086951837877184e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
4,pre_drift,cp,0.01,0.9565,0.003997025809154604,0.0435,0.00812738642186955,0.01212441223102432,8.006023025575252e-07,1.1796916229763615e-06,0.003997025809154604,3.667140671633051e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
5,pre_drift,cp,0.01,0.953,0.004001179435285455,0.047,0.00814724821757545,0.012148427652860958,8.157073894086579e-07,1.2015510342972566e-06,0.004001179435285455,3.729401764063415e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
6,pre_drift,cp,0.01,0.9553,0.003997811537943714,0.0447,0.008131151396775093,0.01212896293471887,8.045332635177495e-07,1.1851908900694134e-06,0.003997811537943714,3.680179517425168e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
7,pre_drift,cp,0.01,0.9547,0.004002120013012328,0.0453,0.008151175241287341,0.012153295254299775,8.019765965505709e-07,1.1809740147950736e-06,0.004002120013012328,3.6603718026048736e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
8,pre_drift,cp,0.01,0.9542,0.004001746754873222,0.0458,0.008150153033039667,0.012151899787912986,8.23958509617721e-07,1.2135961836550054e-06,0.004001746754873222,3.765362470614425e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
9,pre_drift,cp,0.01,0.9538,0.003997983023119281,0.0462,0.008132385271604887,0.012130368294724317,8.164767427567632e-07,1.203258522978817e-06,0.003997983023119281,3.7429136892443734e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
10,pre_drift,cp,0.01,0.956,0.004001015234539139,0.044,0.008146270773270181,0.012147286007809467,8.062184271870961e-07,1.1883540418232321e-06,0.004001015234539139,3.699686882606369e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
11,pre_drift,cp,0.01,0.9568,0.004001463419057482,0.0432,0.008148505398739837,0.012149968817797417,8.157922887885697e-07,1.2010452693458798e-06,0.004001463419057482,3.7185866610917024e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
12,pre_drift,cp,0.01,0.9574,0.003998195267057418,0.0426,0.008132918484923311,0.012131113751980845,8.023741699840964e-07,1.1823684999573176e-06,0.003998195267057418,3.676450241224373e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
