t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
68,post_drift,jeffreys,0.02,0.9846,0.055726048938799844,0.1427,0.005335857643063668,0.06106190658186648,3.192757665711754e-05,0.000507953491449325,0.055726048938799844,0.00030014105942820137,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
1,pre_drift,cp,0.01,0.9816,0.05216922869544621,0.0184,0.0011172304789811831,0.05328645917443543,4.846360318950453e-06,0.00026347133416400803,0.05216922869544621,0.00020824221498615385,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
2,pre_drift,cp,0.01,0.9811,0.05241449874822781,0.0189,0.0011408093878996094,0.0535553081361351,4.853281318726923e-06,0.00026437658923787917,0.05241449874822781,0.00020870741976233148,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
3,pre_drift,cp,0.01,0.9826,0.05246911112905855,0.0174,0.0011360159084569314,0.05360512703752326,4.750745243172797e-06,0.0002620237131451828,0.05246911112905855,0.00020723290694988012,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
4,pre_drift,cp,0.01,0.9835,0.05231263153469406,0.0165,0.001120843139889821,0.053433474674591946,4.694959829439431e-06,0.00026143766434827756,0.05231263153469406,0.00020719392096551614,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
5,pre_drift,cp,0.01,0.9829,0.05229780763195294,0.0171,0.0011364400861921548,0.053434247718153007,4.901901108870395e-06,0.0002657105145802293,0.05229780763195294,0.00020980626842358402,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
6,pre_drift,cp,0.01,0.9818,0.05236783635706471,0.0182,0.001139854807936543,0.053507691165009155,4.969043938883432e-06,0.0002654549234408429,0.05236783635706471,0.00020936149534699078,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
7,pre_drift,cp,0.01,0.9819,0.05231163681266205,0.0181,0.0011343831258195376,0.05344601993848959,4.939545297909072e-06,0.00026504890024811817,0.05231163681266205,0.00020907582552709674,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
8,pre_drift,cp,0.01,0.9829,0.05243165974083986,0.0171,0.0011555182495929283,0.053587177990440764,5.032198497433883e-06,0.0002680964400276122,0.05243165974083986,0.00021127636764986047,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
9,pre_drift,cp,0.01,0.9837,0.05229308589976732,0.0163,0.0011307372568775736,0.05342382315665287,4.836271655382438e-06,0.00026425150287943174,0.05229308589976732,0.00020878686261536963,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
10,pre_drift,cp,0.01,0.9832,0.05230434249845508,0.0168,0.0011523850469906235,0.0534567275454536,4.7937488903752615e-06,0.0002692713974202128,0.05230434249845508,0.0002130797598100826,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
11,pre_drift,cp,0.01,0.9826,0.052202007546512275,0.0174,0.0011474691395892882,0.05334947668610941,5.0764995171143345e-06,0.0002706115737771907,0.052202007546512275,0.0002132245905702543,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
12,pre_drift,cp,0.01,0.9809,0.052428918429735315,0.0191,0.0011756047398075592,0.053604523169550805,5.36161905767678e-06,0.0002734465611940679,0.052428918429735315,0.00021426837068906938,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
13,pre_drift,cp,0.01,0.98,0.052573252078694614,0.02,0.0011923214006323592,0.05376557347933482,5.447163157412452e-06,0.00027466233321497705,0.052573252078694614,0.0002146949828755293,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
