n,p_true,np_target,rho,method,coverage,avg_length,reject_star_rate,conf_level,n_sim
50,0.002,0.1,0.1,jeffreys,0.9668,0.05122980440596434,0.0332,0.95,5000
50,0.002,0.1,0.1,cp,0.9812,0.0734756933656903,0.0188,0.95,5000
50,0.002,0.1,0.1,normal,0.0244,0.003540716157043358,0.9756,0.95,5000
50,0.002,0.1,0.15,jeffreys,0.9764,0.05082803866531148,0.0236,0.95,5000
50,0.002,0.1,0.15,cp,0.9854,0.07311150424055612,0.0146,0.95,5000
50,0.002,0.1,0.15,normal,0.015,0.002898674231743422,0.985,0.95,5000
50,0.002,0.1,0.2,jeffreys,0.979,0.05072468989656847,0.021,0.95,5000
50,0.002,0.1,0.2,cp,0.9864,0.07301832125853333,0.0136,0.95,5000
50,0.002,0.1,0.2,normal,0.0118,0.0027333088174083834,0.9882,0.95,5000
50,0.003,0.15,0.0,jeffreys,0.9888,0.05460247125876655,0.0112,0.95,5000
50,0.003,0.15,0.0,cp,0.9888,0.0764157079213889,0.0112,0.95,5000
50,0.003,0.15,0.0,normal,0.1426,0.00883154311751672,0.8574,0.95,5000
50,0.003,0.15,0.01,jeffreys,0.9748,0.05379036256478264,0.0252,0.95,5000
50,0.003,0.15,0.01,cp,0.9748,0.07574057206463224,0.0252,0.95,5000
50,0.003,0.15,0.01,normal,0.1062,0.007533330510048137,0.8938,0.95,5000
50,0.003,0.15,0.02,jeffreys,0.9666,0.053927492989784755,0.0334,0.95,5000
50,0.003,0.15,0.02,cp,0.9666,0.0759112656210197,0.0334,0.95,5000
50,0.003,0.15,0.02,normal,0.0946,0.007696197492433561,0.9054,0.95,5000
50,0.003,0.15,0.05,jeffreys,0.9698,0.05294889209306494,0.0302,0.95,5000
50,0.003,0.15,0.05,cp,0.9698,0.07505517827850641,0.0302,0.95,5000
50,0.003,0.15,0.05,normal,0.0592,0.0061412419718051585,0.9408,0.95,5000
50,0.003,0.15,0.1,jeffreys,0.9752,0.05200161200122617,0.0248,0.95,5000
50,0.003,0.15,0.1,cp,0.9752,0.07419230526276241,0.0248,0.95,5000
50,0.003,0.15,0.1,normal,0.0382,0.004682730149039888,0.9618,0.95,5000
50,0.003,0.15,0.15,jeffreys,0.9766,0.051986510774443606,0.0234,0.95,5000
50,0.003,0.15,0.15,cp,0.9766,0.07421025969529033,0.0234,0.95,5000
50,0.003,0.15,0.15,normal,0.0264,0.004561011950704247,0.9736,0.95,5000
50,0.003,0.15,0.2,jeffreys,0.975,0.05209115906815332,0.025,0.95,5000
50,0.003,0.15,0.2,cp,0.975,0.07433126137396537,0.025,0.95,5000
50,0.003,0.15,0.2,normal,0.021,0.004646832040068369,0.979,0.95,5000
50,0.004,0.2,0.0,jeffreys,0.9804,0.05602136163791958,0.0196,0.95,5000
50,0.004,0.2,0.0,cp,0.9804,0.0777132207937213,0.0196,0.95,5000
50,0.004,0.2,0.0,normal,0.1738,0.010947884879835586,0.8262,0.95,5000
50,0.004,0.2,0.01,jeffreys,0.9638,0.05545633580921458,0.0362,0.95,5000
50,0.004,0.2,0.01,cp,0.9638,0.07727871705285998,0.0362,0.95,5000
50,0.004,0.2,0.01,normal,0.1382,0.010010712797783266,0.8618,0.95,5000
50,0.004,0.2,0.02,jeffreys,0.9552,0.05546909889476358,0.0448,0.95,5000
50,0.004,0.2,0.02,cp,0.9552,0.07733668159157801,0.0448,0.95,5000
50,0.004,0.2,0.02,normal,0.1232,0.009975107069729663,0.8768,0.95,5000
50,0.004,0.2,0.05,jeffreys,0.9542,0.054603347822028976,0.0458,0.95,5000
50,0.004,0.2,0.05,cp,0.9542,0.07661902454356535,0.0458,0.95,5000
50,0.004,0.2,0.05,normal,0.077,0.00856015793867748,0.923,0.95,5000
50,0.004,0.2,0.1,jeffreys,0.9616,0.05370759833055354,0.0384,0.95,5000
50,0.004,0.2,0.1,cp,0.9616,0.07582410539572325,0.0384,0.95,5000
50,0.004,0.2,0.1,normal,0.0496,0.007114545865906423,0.9504,0.95,5000
50,0.004,0.2,0.15,jeffreys,0.9686,0.05294613741769521,0.0314,0.95,5000
50,0.004,0.2,0.15,cp,0.9686,0.07511930866474952,0.0314,0.95,5000
50,0.004,0.2,0.15,normal,0.036,0.005941106204000853,0.964,0.95,5000
50,0.004,0.2,0.2,jeffreys,0.9732,0.05255750222066488,0.0268,0.95,5000
50,0.004,0.2,0.2,cp,0.9732,0.07477319077697278,0.0268,0.95,5000
50,0.004,0.2,0.2,normal,0.0236,0.005313337047022038,0.9764,0.95,5000
50,0.005,0.25,0.0,jeffreys,0.9718,0.05796474128955375,0.0282,0.95,5000
50,0.005,0.25,0.0,cp,0.9988,0.07948347283918458,0.0012,0.95,5000
50,0.005,0.25,0.0,normal,0.218,0.013858774536815,0.782,0.95,5000
50,0.005,0.25,0.01,jeffreys,0.9522,0.057618129491457976,0.0478,0.95,5000
50,0.005,0.25,0.01,cp,0.9854,0.07926239946778765,0.0146,0.95,5000
50,0.005,0.25,0.01,normal,0.1858,0.013237874307715447,0.8142,0.95,5000
50,0.005,0.25,0.02,jeffreys,0.9424,0.0572079863147318,0.0576,0.95,5000
50,0.005,0.25,0.02,cp,0.9772,0.07894873209297984,0.0228,0.95,5000
50,0.005,0.25,0.02,normal,0.1598,0.012551826661030526,0.8402,0.95,5000
50,0.005,0.25,0.05,jeffreys,0.9398,0.05644423804543247,0.0602,0.95,5000
50,0.005,0.25,0.05,cp,0.9684,0.0783404851076673,0.0316,0.95,5000
50,0.005,0.25,0.05,normal,0.1124,0.011233083672979014,0.8876,0.95,5000
50,0.005,0.25,0.1,jeffreys,0.9434,0.055674176430118016,0.0566,0.95,5000
50,0.005,0.25,0.1,cp,0.9618,0.07770411097103709,0.0382,0.95,5000
50,0.005,0.25,0.1,normal,0.0714,0.009909990445150799,0.9286,0.95,5000
50,0.005,0.25,0.15,jeffreys,0.9574,0.05462794776178503,0.0426,0.95,5000
50,0.005,0.25,0.15,cp,0.9678,0.07674834399825785,0.0322,0.95,5000
50,0.005,0.25,0.15,normal,0.0466,0.008226053316148538,0.9534,0.95,5000
50,0.005,0.25,0.2,jeffreys,0.9626,0.054029871791048026,0.0374,0.95,5000
50,0.005,0.25,0.2,cp,0.9712,0.07617915541167897,0.0288,0.95,5000
50,0.005,0.25,0.2,normal,0.041,0.007361113968509685,0.959,0.95,5000
50,0.006,0.3,0.0,jeffreys,0.965,0.059902986800163566,0.035,0.95,5000
50,0.006,0.3,0.0,cp,0.995,0.08125286651357001,0.005,0.95,5000
50,0.006,0.3,0.0,normal,0.2612,0.016770204932590602,0.7388,0.95,5000
50,0.006,0.3,0.01,jeffreys,0.9394,0.05943450900584387,0.0606,0.95,5000
50,0.006,0.3,0.01,cp,0.983,0.08093833714630617,0.017,0.95,5000
50,0.006,0.3,0.01,normal,0.2212,0.01593541050854281,0.7788,0.95,5000
50,0.006,0.3,0.02,jeffreys,0.9364,0.058722656746725464,0.0636,0.95,5000
50,0.006,0.3,0.02,cp,0.9732,0.08034266829076406,0.0268,0.95,5000
50,0.006,0.3,0.02,normal,0.189,0.014811287186818697,0.811,0.95,5000
50,0.006,0.3,0.05,jeffreys,0.9316,0.05770005230313553,0.0684,0.95,5000
50,0.006,0.3,0.05,cp,0.9614,0.07952409087552247,0.0386,0.95,5000
50,0.006,0.3,0.05,normal,0.1282,0.013059379510016358,0.8718,0.95,5000
50,0.006,0.3,0.1,jeffreys,0.9488,0.05563636639943021,0.0512,0.95,5000
