design,scenario,n,p_true,rho,method,coverage,avg_length,reject_star_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,conf_level,n_sim
scenarios,Low Default,1000,0.001,0.02,cp,0.9336,0.004589510096751659,0.0664,0.000519967675985669,0.005109477772737328,8.808758307424728e-06,3.338089354236228e-05,0.004589510096751659,8.988571995156477e-06,0.95,10000
scenarios,Low Default,1000,0.001,0.02,normal,0.0893,0.001173157706976269,0.9107,0.0004412472671149678,0.0016144049740912368,8.011823356124426e-06,3.750982758398945e-05,0.001173157706976269,1.31794901233087e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.03,jeffreys,0.941,0.0033589993507438885,0.059,0.0006353892172460836,0.0039943885679899725,1.784202449843233e-05,5.177855291777776e-05,0.0033589993507438885,1.0377791052037672e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.03,cp,0.941,0.004512710322432239,0.059,0.0006076196837142356,0.005120330006146476,1.7380206466476473e-05,5.032956036607357e-05,0.004512710322432239,1.010579782443437e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.03,normal,0.0635,0.0010484007683147145,0.9365,0.0005416769197069359,0.0015900776880216504,1.645679951616279e-05,5.475139373450546e-05,0.0010484007683147145,1.4107425106099437e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.04,jeffreys,0.9479,0.00332505329710021,0.0521,0.0007657213632947867,0.004090774660394996,3.2073764702149296e-05,7.82607010492499e-05,0.00332505329710021,1.2098515396286462e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.04,cp,0.9479,0.004482223482805774,0.0521,0.0007413671665922085,0.005223590649397983,3.148494018913041e-05,7.662780861442608e-05,0.004482223482805774,1.1832853419059286e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.04,normal,0.0489,0.0009856869880505536,0.9511,0.0006852790990978482,0.0016709660871484019,3.0389353038901617e-05,8.162801751068492e-05,0.0009856869880505536,1.5790487537470552e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.05,jeffreys,0.9574,0.003165117220908412,0.0426,0.0006099119020869916,0.003775029122995404,2.3825928304504514e-05,6.039204507421646e-05,0.003165117220908412,9.78620189103917e-06,0.95,10000
scenarios,Low Default,1000,0.001,0.05,cp,0.9574,0.004326107896555368,0.0426,0.0005901013720554854,0.004916209268610853,2.335319182875809e-05,5.9064104787279205e-05,0.004326107896555368,9.567587326669572e-06,0.95,10000
scenarios,Low Default,1000,0.001,0.05,normal,0.0365,0.0007926635905036299,0.9635,0.0005437260849849249,0.0013363896754885547,2.246067845612264e-05,6.312139989507649e-05,0.0007926635905036299,1.282233084873495e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.07,jeffreys,0.964,0.0031237539049697657,0.036,0.0007465286493607827,0.0038702825543305485,5.1201061691235704e-05,0.00010419153127165306,0.0031237539049697657,1.1330181005201662e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.07,cp,0.964,0.004287259451638202,0.036,0.0007297343454263698,0.005016993797064572,5.058918888726232e-05,0.00010268811356598873,0.004287259451638202,1.1122942618247854e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.07,normal,0.0277,0.0007277963302877438,0.9723,0.0006922064964040279,0.0014200028266917717,4.9592650559075545e-05,0.00010739890886164087,0.0007277963302877438,1.4241025790866556e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.1,jeffreys,0.9712,0.003045074510968952,0.0288,0.0008675979710926416,0.003912672482061594,0.00010002969982728302,0.00017225755755568412,0.003045074510968952,1.2227018112734148e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.1,cp,0.9712,0.004211438083084605,0.0288,0.0008544325171234517,0.005065870600208056,9.928206597753743e-05,0.00017062853898565573,0.004211438083084605,1.2043666985582408e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.1,normal,0.0192,0.0006224340000152722,0.9808,0.000826405841633105,0.0014488398416483775,9.833299784075036e-05,0.0001759897444395413,0.0006224340000152722,1.4830713505629351e-05,0.95,10000
