n,p,conf_level,coverage_jeff,coverage_exact,coverage_approx,coverage_ecb,coverage_approx_unil,coverage_exact_unil
100,0.0834448160535117,0.95,0.9499,0.9714,0.9164,0.9244,0.9244,0.9682
100,0.08377591973244147,0.95,0.9541,0.9729,0.9225,0.93,0.93,0.9716
100,0.08410702341137123,0.95,0.9544,0.9722,0.9201,0.9286,0.9286,0.9745
100,0.084438127090301,0.95,0.9534,0.9713,0.9224,0.9328,0.9328,0.9754
100,0.08476923076923076,0.95,0.9501,0.9691,0.9238,0.9349,0.9349,0.9742
100,0.08510033444816054,0.95,0.9544,0.9717,0.9244,0.9345,0.9345,0.9744
100,0.0854314381270903,0.95,0.9567,0.9567,0.9282,0.9382,0.9382,0.9788
100,0.08576254180602007,0.95,0.9534,0.9534,0.9265,0.9377,0.9377,0.9772
100,0.08609364548494984,0.95,0.9524,0.9524,0.9285,0.9393,0.8735,0.9761
100,0.0864247491638796,0.95,0.9536,0.9536,0.9306,0.943,0.8757,0.9798
100,0.08675585284280937,0.95,0.9522,0.966,0.9305,0.9436,0.8818,0.9791
100,0.08708695652173913,0.95,0.9507,0.9655,0.9274,0.9406,0.8755,0.9787
100,0.0874180602006689,0.95,0.9524,0.967,0.9343,0.9488,0.8844,0.9815
100,0.08774916387959866,0.95,0.9499,0.9654,0.9296,0.943,0.8774,0.9788
100,0.08808026755852844,0.95,0.9491,0.9642,0.9321,0.9467,0.8797,0.9788
100,0.0884113712374582,0.95,0.9501,0.9651,0.9377,0.9452,0.8849,0.9803
100,0.08874247491638797,0.95,0.9555,0.9687,0.9435,0.9502,0.8928,0.9826
100,0.08907357859531773,0.95,0.951,0.9677,0.9428,0.9489,0.8867,0.9816
100,0.0894046822742475,0.95,0.9484,0.966,0.9459,0.9529,0.8917,0.9529
100,0.08973578595317726,0.95,0.949,0.9666,0.9436,0.9529,0.895,0.9529
100,0.09006688963210703,0.95,0.9479,0.9625,0.9457,0.9543,0.899,0.9543
100,0.09039799331103679,0.95,0.9678,0.9678,0.946,0.9536,0.8958,0.9536
100,0.09072909698996656,0.95,0.9648,0.9648,0.9505,0.9587,0.9047,0.9587
100,0.09106020066889632,0.95,0.9669,0.9669,0.9467,0.9544,0.8972,0.9544
100,0.0913913043478261,0.95,0.9653,0.9653,0.9469,0.9564,0.8979,0.9564
100,0.09172240802675585,0.95,0.9641,0.9641,0.9472,0.9575,0.9028,0.9575
100,0.09205351170568563,0.95,0.9666,0.9666,0.9486,0.9593,0.9081,0.9593
100,0.09238461538461538,0.95,0.9388,0.9662,0.9505,0.9604,0.9033,0.9604
100,0.09271571906354516,0.95,0.9401,0.9646,0.9508,0.9616,0.9117,0.9616
100,0.09304682274247492,0.95,0.939,0.9649,0.8988,0.9601,0.9084,0.9601
100,0.09337792642140469,0.95,0.9373,0.963,0.9019,0.9614,0.9132,0.9614
100,0.09370903010033445,0.95,0.941,0.9633,0.904,0.9645,0.9155,0.9645
100,0.09404013377926422,0.95,0.9313,0.9573,0.8977,0.959,0.9127,0.959
100,0.09437123745819398,0.95,0.9389,0.9747,0.9005,0.9634,0.9131,0.9634
100,0.09470234113712375,0.95,0.9427,0.9788,0.9067,0.9665,0.9183,0.9665
100,0.09503344481605351,0.95,0.938,0.975,0.9077,0.9667,0.9218,0.9667
100,0.09536454849498328,0.95,0.9404,0.976,0.9134,0.9691,0.9275,0.9691
100,0.09569565217391304,0.95,0.9377,0.9748,0.9067,0.967,0.9213,0.967
100,0.09602675585284282,0.95,0.9374,0.9734,0.9105,0.9271,0.9271,0.9682
100,0.09635785953177257,0.95,0.9363,0.9741,0.9095,0.9248,0.9248,0.9672
100,0.09668896321070235,0.95,0.9385,0.9727,0.9228,0.9299,0.9299,0.9698
100,0.0970200668896321,0.95,0.9386,0.9752,0.9239,0.93,0.93,0.9703
100,0.09735117056856188,0.95,0.9394,0.9728,0.9268,0.9356,0.9356,0.9731
100,0.09768227424749164,0.95,0.9389,0.9722,0.9254,0.9341,0.9341,0.9721
100,0.09801337792642141,0.95,0.9427,0.9733,0.93,0.9384,0.9384,0.9744
100,0.09834448160535117,0.95,0.9533,0.9726,0.9236,0.932,0.932,0.972
100,0.09867558528428094,0.95,0.956,0.973,0.9277,0.936,0.936,0.974
100,0.0990066889632107,0.95,0.956,0.9733,0.9294,0.9371,0.9371,0.974
100,0.09933779264214047,0.95,0.9565,0.9565,0.9334,0.944,0.8839,0.9766
100,0.09966889632107023,0.95,0.9553,0.9553,0.9299,0.9397,0.8825,0.975
100,0.1,0.95,0.9596,0.9596,0.929,0.9392,0.8818,0.9791
